Source;LoadingType;ProblemInstance;ExecutionTime;ProblamGroup
TEMPELMEIER;DISK;TM_113GC_2;116,3018765;TM_1
TEMPELMEIER;DISK;TM_114GC_2;116,7282612;TM_1
TEMPELMEIER;DISK;TM_121GC_2;119,395164;TM_1
TEMPELMEIER;DISK;TM_122GC_2;116,1520061;TM_1
TEMPELMEIER;DISK;TM_123GC_2;116,7685633;TM_1
TEMPELMEIER;DISK;TM_124GC_2;114,9564681;TM_1
TEMPELMEIER;DISK;TM_131GC_2;116,1782904;TM_1
TEMPELMEIER;DISK;TM_132GC_2;117,7512524;TM_1
TEMPELMEIER;DISK;TM_133GC_2;114,9671302;TM_1
TEMPELMEIER;DISK;TM_134GC_2;114,8089714;TM_1
TEMPELMEIER;DISK;TM_211AA_1;115,2730198;TM_2
TEMPELMEIER;DISK;TM_212AA_1;116,0990796;TM_2
TEMPELMEIER;DISK;TM_213AA_1;120,0014491;TM_2
TEMPELMEIER;DISK;TM_214AA_1;115,4983637;TM_2
TEMPELMEIER;DISK;TM_221AA_1;118,0207944;TM_2
TEMPELMEIER;DISK;TM_222AA_1;115,1674182;TM_2
TEMPELMEIER;DISK;TM_223AA_1;116,1125052;TM_2
TEMPELMEIER;DISK;TM_224AA_1;119,8998353;TM_2
TEMPELMEIER;DISK;TM_231AA_1;116,0798233;TM_2
TEMPELMEIER;DISK;TM_232AA_1;115,1898398;TM_2
TEMPELMEIER;DISK;TM_233AA_1;116,5900316;TM_2
TEMPELMEIER;DISK;TM_234AA_1;115,6489553;TM_2
TEMPELMEIER;DISK;TM_211AA_2;118,0983245;TM_2
TEMPELMEIER;DISK;TM_212AA_2;115,0364714;TM_2
TEMPELMEIER;DISK;TM_213AA_2;117,8814702;TM_2
TEMPELMEIER;DISK;TM_214AA_2;119,6512585;TM_2
TEMPELMEIER;DISK;TM_221AA_2;118,2829766;TM_2
TEMPELMEIER;DISK;TM_222AA_2;115,2626376;TM_2
TEMPELMEIER;DISK;TM_223AA_2;114,3292351;TM_2
TEMPELMEIER;DISK;TM_224AA_2;114,2693193;TM_2
TEMPELMEIER;DISK;TM_231AA_2;115,7872593;TM_2
TEMPELMEIER;DISK;TM_232AA_2;117,7337954;TM_2
TEMPELMEIER;DISK;TM_233AA_2;114,5950813;TM_2
TEMPELMEIER;DISK;TM_234AA_2;116,0746465;TM_2
TEMPELMEIER;DISK;TM_211AC_1;114,308677;TM_2
TEMPELMEIER;DISK;TM_212AC_1;117,2710872;TM_2
TEMPELMEIER;DISK;TM_213AC_1;119,5840704;TM_2
TEMPELMEIER;DISK;TM_214AC_1;114,5402441;TM_2
TEMPELMEIER;DISK;TM_221AC_1;115,6281843;TM_2
TEMPELMEIER;DISK;TM_222AC_1;115,4416535;TM_2
TEMPELMEIER;DISK;TM_223AC_1;116,4773602;TM_2
TEMPELMEIER;DISK;TM_224AC_1;120,405092;TM_2
TEMPELMEIER;DISK;TM_231AC_1;128,4721937;TM_2
TEMPELMEIER;DISK;TM_232AC_1;124,3794272;TM_2
TEMPELMEIER;DISK;TM_233AC_1;120,3413134;TM_2
TEMPELMEIER;DISK;TM_234AC_1;127,7592275;TM_2
TEMPELMEIER;DISK;TM_211AC_2;122,160846;TM_2
TEMPELMEIER;DISK;TM_212AC_2;124,3986642;TM_2
TEMPELMEIER;DISK;TM_213AC_2;120,3397593;TM_2
TEMPELMEIER;DISK;TM_214AC_2;125,1501167;TM_2
